id,deleted,type,subtype,activity
199,N,MANUFACTURING,MANUFACTURE OF PAPER & PAPER PRODUCTS,"MANUFACTURE OF CONTAINERS, BOXES OF PAPER, PAPERBOARD"
200,N,MANUFACTURING,MANUFACTURE OF PAPER & PAPER PRODUCTS,MANUFACTURE OF OTHER ARTICLES OF PAPER AND PAPERBOARD
201,N,MANUFACTURING,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA","PUBLISHING OF BOOKS, BROCHURES, MUSICAL BOOKS"
202,N,MANUFACTURING,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA","PUBLISHING OF NEWSPAPERS, JOURNALS AND PERIODICALS"
203,N,MANUFACTURING,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",PUBLISHING OF RECORDED MEDIA
204,N,MANUFACTURING,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",OTHER PUBLISHING
205,N,MANUFACTURING,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",PRINTING
206,N,MANUFACTURING,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",SERVICE ACTIVITIES RELATED TO PRINTING
207,N,MANUFACTURING,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",PUBLISHING AND PRINTING ACTIVITIES
208,N,MANUFACTURING,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",REPRODUCTION OF RECORDED MEDIA
209,N,MANUFACTURING,"MANUFACTURE OF COKE, REFINED PETROLEUM & FUEL PRODUCTS",MANUFACTURE OF COKE OVEN PRODUCTS
210,N,MANUFACTURING,"MANUFACTURE OF COKE, REFINED PETROLEUM & FUEL PRODUCTS",MANUFACTURE OF REFINED PETROLEUM PRODUCTS
211,N,MANUFACTURING,"MANUFACTURE OF COKE, REFINED PETROLEUM & FUEL PRODUCTS",MANUFACTURE OF OTHER FUEL PRODUCTS
212,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,MANUFACTURE OF BASIC CHEMICALS NOT FERTILIZERS
213,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,"MANUFACTURE OF PLASTICS IN PRIMARY FORMS, SYNTHETIC RUBBER"
214,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,MANUFACTURE OF FERTILIZERS AND NITROGEN COMPOUNDS
215,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,"MANUFACTURE OF PESTICIDES, OTHER AGRO-CHEMICAL PRODUCTS"
216,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,"MANUFACTURE OF PAINTS, VARNISHES, COATINGS, INK, MASTICS"
217,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,"MANUFACTURE OF MEDICINAL CHEMICALS, BOTANICAL PRODUCTS"
218,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,"MANUFACTURE OF SOAP, DETERGENT PERFUMES & PREPARATIONS"
219,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,"MANUFACTURE OF OTHER CHEMICAL PRODUCTS, N.E.C"
220,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,MANUFACTURE OF SYNTHETIC OR ARTIFICIAL FILAMENT YARNS
221,N,MANUFACTURING,MANUFACTURE OF CHEMICALS & CHEMICAL PRODUCTS,MANUFACTURE OF MAN-MADE FILAMENT TOW OR STAPLE FIBERS
222,N,MANUFACTURING,MANUFACTURE OF RUBBER & PLASTIC PRODUCTS,"MANUFACTURE OF RUBBER TIRES, TUBES"
223,N,MANUFACTURING,MANUFACTURE OF RUBBER & PLASTIC PRODUCTS,MANUFACTURE OF OTHER RUBBER PRODUCTS
224,N,MANUFACTURING,MANUFACTURE OF RUBBER & PLASTIC PRODUCTS,MANUFACTURE OF PLASTIC PRODUCTS
225,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,MANUFACTURE OF GLASS AND GLASS PRODUCTS
226,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,MANUFACTURE OF CEMENT
227,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,MANUFACTURE OF NON-STRUCTURAL NON-REFRACTORY CERAMICWARE
228,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,MANUFACTURE OF REFRACTORY CERAMIC PRODUCTS
229,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,"MANUFACTURE OF STRUCTURAL NONREFRACTORY CLAY, CERAMIC PRDCTS"
230,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,MANUFACTURE OF LIME AND PLASTER
231,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,"MANUFACTURE OF ARTICLES OF CONCRETE, CEMENT, PLASTER"
232,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,"CUTTING, SHAPING AND FINISHING OF STONE"
233,N,MANUFACTURING,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS
234,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,OPERATION OF BLAST FURNACES AND STEEL MAKING FURNACES
235,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,OPERATION OF STEEL WORKS AND ROLLING MILLS
236,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,GOLD AND OTHER PRECIOUS METAL REFINING
237,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,"NON-FERROUS SMELTING, REFINING, EXCEPT PRECIOUS METALS"
238,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,"NON-FERROUS ROLLING, DRAWING AND EXTRUSION"
239,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,MANUFACTURE OF PIPE FITTINGS OF NON-FERROUS METAL
240,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,MANUFACTURE OF BASIC PRECIOUS AND NON-FERROUS METAL
241,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,IRON AND STEEL CASTING/FOUNDRY
242,N,MANUFACTURING,MANUFACTURE OF BASIC METALS,NON-FERROUS METAL CASTING
243,N,MANUFACTURING,MANUFACTURE OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY AND EQUIPMENT,MANUFACTURE OF STRUCTURAL METAL PRODUCTS
244,N,MANUFACTURING,MANUFACTURE OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY AND EQUIPMENT,"MANUFACTURE OF TANKS, RESERVOIRS, CONTAINERS OF METAL"
245,N,MANUFACTURING,MANUFACTURE OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY AND EQUIPMENT,MANUFACTURE OF STEAM GENERATORS
246,N,MANUFACTURING,MANUFACTURE OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY AND EQUIPMENT,"FORGING, PRESSING, STAMPING, ROLL-FORMING OF METAL"
247,N,MANUFACTURING,MANUFACTURE OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY AND EQUIPMENT,"TREATMENT, COATING OF METALS, MECHANICAL ENGINEERING"
248,N,MANUFACTURING,MANUFACTURE OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY AND EQUIPMENT,"MANUFACTURE OF CUTLERY, HAND TOOLS, GENERAL HARDWARE"
249,N,MANUFACTURING,MANUFACTURE OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY AND EQUIPMENT,MANUFACTURE OF OTHER FABRICATED METAL PRODUCTS
250,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"MANUFACTURE OF ENGINES, TURBINES, NOT AIRCRAFT/CYCLE ENGINES"
251,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"MANUFACTURE OF PUMPS, COMPRESSORS, TAPS, VALVES"
252,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"MANUFACTURE OF BEARINGS, GEARS, GEARING, DRIVING ELEMENTS"
253,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"MANUFACTURE OF OVENS, FURNACES, FURNACE BURNERS"
254,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,MANUFACTURE OF LIFTING AND HANDLING EQUIPMENT
255,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,MANUFACTURE OF OTHER GENERAL PURPOSE MACHINERY
256,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,MANUFACTURE OF AGRICULTURAL AND FORESTRY MACHINERY
257,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,MANUFACTURE OF MACHINE-TOOLS
258,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,MANUFACTURE OF MACHINERY: METALLURGY
259,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"MANUFACTURE OF MACHINERY: MINING, QUARRYING, CONSTRUCTION"
260,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"MANUFACTURE OF MACHINERY: FOOD, BEVERAGE, TOBACCO PROCESSING"
261,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"MANUFACTURE OF MACHINERY: TEXTILE APPAREL, LEATHER PROD'N"
262,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,MANUFACTURE OF WEAPONS AND AMMUNITION
263,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,MANUFACTURE OF OTHER SPECIAL PURPOSE MACHINERY
264,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"MANUFACTURE OF DOMESTIC APPLIANCES, N.E.C"
265,N,MANUFACTURING,MANUFACTURE OF MACHINERY & EQUIPMENT N.E.C.,"REBUILDING, REPAIRING: MACHINERY, EQUIPMENT, PARTS"
266,N,MANUFACTURING,MANUFACTURE OF OFFICE ACCOUNTING AND COMPUTING MACHINERY,"MANUFACTURE OF OFFICE, ACCOUNTING, COMPUTING MACHINERY"
267,N,MANUFACTURING,MANUFACTURE OF ELECTRICAL MACHINERY & APPARATUS N.E.C.,"MANUFACTURE OF ELECTRIC MOTORS, GENERATORS, TRANSFORMERS"
268,N,MANUFACTURING,MANUFACTURE OF ELECTRICAL MACHINERY & APPARATUS N.E.C.,"MANUFACTURE OF ELECTRICITY DISTRIBUTION, CONTROL APPARATUS"
269,N,MANUFACTURING,MANUFACTURE OF ELECTRICAL MACHINERY & APPARATUS N.E.C.,MANUFACTURE OF INSULATED WIRE AND CABLES
270,N,MANUFACTURING,MANUFACTURE OF ELECTRICAL MACHINERY & APPARATUS N.E.C.,"MANUFACTURE OF ACCUMULATORS, PRIMARY CELLS, BATTERIES"
271,N,MANUFACTURING,MANUFACTURE OF ELECTRICAL MACHINERY & APPARATUS N.E.C.,"MANUFACTURE OF LIGHTING EQUIPMENT, ELECTRIC LAMPS"
272,N,MANUFACTURING,MANUFACTURE OF ELECTRICAL MACHINERY & APPARATUS N.E.C.,"MANUFACTURE OF OTHER ELECTRICAL EQUIPMENT, N.E.C"
273,N,MANUFACTURING,"MANUFACTURE OF RADIO, TV & COMMUNICATION EQUIP/APPARATUS","UFACTURE OF RADIO, TV & COMMUNICATION EQUIP/APPARATUS"
274,N,MANUFACTURING,"MANUFACTURE OF RADIO, TV & COMMUNICATION EQUIP/APPARATUS","MANUFACTURE OF ELECTRONIC VALVES, TUBES"
275,N,MANUFACTURING,"MANUFACTURE OF RADIO, TV & COMMUNICATION EQUIP/APPARATUS",MANUFACTURE OF SEMI-CONDUCTOR DEVICES
276,N,MANUFACTURING,"MANUFACTURE OF RADIO, TV & COMMUNICATION EQUIP/APPARATUS","MANUFACTURE OF TV, RADIO TRANSMITTERS, APPARATUS"
277,N,MANUFACTURING,"MANUFACTURE OF RADIO, TV & COMMUNICATION EQUIP/APPARATUS","MANUFACTURE OF TV, RADIO RECEIVERS, RECORDING APPARATUS"
278,N,MANUFACTURING,"MANUFACTURE OF MEDICAL, PRECISION, OPTICAL INSTRUMENTS","MANUFACTURE OF MEDICAL, SURGICAL EQUIPMENT"
279,N,MANUFACTURING,"MANUFACTURE OF MEDICAL, PRECISION, OPTICAL INSTRUMENTS","MANUFACTURE OF MEASURING, NAVIGATING INSTRUMENTS"
280,N,MANUFACTURING,"MANUFACTURE OF MEDICAL, PRECISION, OPTICAL INSTRUMENTS",MANUFACTURE OF INDUSTRIAL PROCESS CONTROL EQUIPMENT
281,N,MANUFACTURING,"MANUFACTURE OF MEDICAL, PRECISION, OPTICAL INSTRUMENTS","MANUFACTURE OF OPTICAL INSTRUMENTS, PHOTOGRAPHIC EQUIPMENT"
282,N,MANUFACTURING,"MANUFACTURE OF MEDICAL, PRECISION, OPTICAL INSTRUMENTS",MANUFACTURE OF WATCHES AND CLOCKS
283,N,MANUFACTURING,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS & SEMI-TRAILERS",MANUFACTURE OF MOTOR VEHICLES
284,N,MANUFACTURING,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS & SEMI-TRAILERS","MANUFACTURE OF BODIES FOR MOTOR VEHICLES, TRAILERS"
285,N,MANUFACTURING,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS & SEMI-TRAILERS","MANUFACTURE OF PARTS, ACCESSORIES FOR MOTOR VEHICLES"
286,N,MANUFACTURING,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,BUILDING AND REPAIRING OF SHIPS
287,N,MANUFACTURING,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,"BUILDING AND REPAIRING OF PLEASURE, SPORTING BOATS"
288,N,MANUFACTURING,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,"MANUFACTURE OF RAILWAY, TRAMWAY LOCOMOTIVES, ROLLING STOCK"
289,N,MANUFACTURING,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,MANUFACTURE OF AIRCRAFT AND SPACECRAFT
290,N,MANUFACTURING,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,MANUFACTURE OF MOTORCYCLES
291,N,MANUFACTURING,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,MANUFACTURE OF BICYCLES AND INVALID CARRIAGES
292,N,MANUFACTURING,MANUFACTURE OF OTHER TRANSPORT EQUIPMENT,"MANUFACTURE OF OTHER TRANSPORT EQUIPMENT, N.E.C"
293,N,MANUFACTURING,MANUFACTURE & REPAIR OF FURNITURE,MANUFACTURE AND REPAIR OF WOOD FURNITURE
294,N,MANUFACTURING,MANUFACTURE & REPAIR OF FURNITURE,MANUFACTURE AND REPAIR OF RATTAN FURNITURE
295,N,MANUFACTURING,MANUFACTURE & REPAIR OF FURNITURE,MANUFACTURE OF BOX BEDS AND MATTRESSES
296,N,MANUFACTURING,MANUFACTURE & REPAIR OF FURNITURE,"MANUFACTURE OF PARTITIONS, SHELVES, LOCKERS, OFFICE FIXTURES"
297,N,MANUFACTURING,MANUFACTURE & REPAIR OF FURNITURE,MANUFACTURE OF PLASTIC FURNITURE
298,N,MANUFACTURING,MANUFACTURE & REPAIR OF FURNITURE,MANUFACTURE AND REPAIR OF FURNITURE AND FIXTURES OF METAL
299,N,MANUFACTURING,MANUFACTURE & REPAIR OF FURNITURE,MANUFACTURE AND REPAIR OF OTHER FURNITURE AND FIXTURES
300,N,MANUFACTURING,RECYCLING,"RECYCLING OF METAL WASTE, SCRAP"
301,N,MANUFACTURING,RECYCLING,"RECYCLING OF NON-METAL WASTE, SCRAP"
302,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF JEWELRY
303,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF SILVERWARE, PLATEDWARE"
304,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF JEWELRY AND RELATED ARTICLES, N.E.C"
305,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF PIANOS
306,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF GUITARS
307,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF STRING INSTRUMENTS, OTHER THAN GUITARS"
308,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF WIND AND PERCUSSION INSTRUMENTS
309,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF MUSICAL ORGANS (ALL TYPES)
310,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF MUSICAL INSTRUMENTS, N.E.C"
311,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF SPORTING GLOVES, MITTS"
312,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF SPORTING BALLS
313,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF SPORTING AND ATHLETIC GOODS, N.E.C"
314,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF DOLLS AND DOLL GARMENTS
315,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF WHEELED TOYS
316,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF BILLIARD, POOL, BOWLING ALLEY EQUIPMENT"
317,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF ELECTRIC GAMES (VIDEO GAMES, CHECKERS)"
318,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF TOYS AND GAMES, N.E.C"
319,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF PENS, PENCILS OF ALL KINDS"
320,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF BABY CARRIAGES
321,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF UMBRELLAS, WALKING STICKS, CANES, WHIPS"
322,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF ARTICLES FOR PERSONAL USE
323,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF LINOLEUM & HARD SURFACE FLOOR COVERINGS
324,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF CANDLES
325,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF ARTIFICIAL FLOWERS, FRUITS & FOLIAGE"
326,N,MANUFACTURING,"MANUFACTURING, N.E.C",MANUFACTURE OF IMITATION JEWELRY
327,N,MANUFACTURING,"MANUFACTURING, N.E.C","MANUFACTURE OF OTHER ARTICLES, N.E.C"
328,N,"ELECTRICITY, GAS AND WATER","ELECTRICITY, GAS, STEAM, AND HOT WATER SUPPLY","GENERATION, COLLECTION AND DISTRIBUTION OF ELECTRICITY"
329,N,"ELECTRICITY, GAS AND WATER","ELECTRICITY, GAS, STEAM, AND HOT WATER SUPPLY","MANUFACTURE OF GAS, DISTRIBUTION OF GASEOUS FUELS VIA MAINS"
330,N,"ELECTRICITY, GAS AND WATER","ELECTRICITY, GAS, STEAM, AND HOT WATER SUPPLY",STEAM AND HOT WATER SUPPLY
331,N,"ELECTRICITY, GAS AND WATER","COLLECTION, PURIFICATION & DISTRIBUTION OF WATER","COLLECTION, PURIFICATION, DISTRIBUTION OF WATER"
332,N,CONSTRUCTION,CONSTRUCTION,SITE PREPARATION
333,N,CONSTRUCTION,CONSTRUCTION,"BUILDING OF CONSTRUCTIONS OR PARTS, CIVIL ENGINEERING"
334,N,CONSTRUCTION,CONSTRUCTION,PLUMBING AND RELATED WORK
335,N,CONSTRUCTION,CONSTRUCTION,BUILDING COMPONENTS INSTALLATION CONTRACTORS
336,N,CONSTRUCTION,CONSTRUCTION,ELECTRICAL AND MECHANICAL WORK AT SITE OF CONSTRUCTION
337,N,CONSTRUCTION,CONSTRUCTION,WATER WELL DRILLING AND WATER PUMP INSTALLATION
338,N,CONSTRUCTION,CONSTRUCTION,BUILDING INSTALLATIONS N.E.C
339,N,CONSTRUCTION,CONSTRUCTION,PAINTING AND RELATED WORK
340,N,CONSTRUCTION,CONSTRUCTION,FLOOR AND WALL TILING OR COVERING WITH OTHER MATERIAL
341,N,CONSTRUCTION,CONSTRUCTION,INTERIOR DECORATION
342,N,CONSTRUCTION,CONSTRUCTION,CARPENTRY
343,N,CONSTRUCTION,CONSTRUCTION,OTHER BUILDING COMPLETION ACTIVITIES
344,N,CONSTRUCTION,CONSTRUCTION,"RENTING OF CONSTRUCTION, DEMOLITION EQUIPMENT W/ OPERATOR"
345,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLE AND MOTORCYCLE RETAIL SALE OF AUTOMOTIVE FUEL","MOTOR VEHICLES, WHOLESALING"
346,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLE AND MOTORCYCLE RETAIL SALE OF AUTOMOTIVE FUEL","MOTOR VEHICLES, RETAILING"
347,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLE AND MOTORCYCLE RETAIL SALE OF AUTOMOTIVE FUEL",MAINTENANCE AND REPAIR OF MOTOR VEHICLES
348,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLE AND MOTORCYCLE RETAIL SALE OF AUTOMOTIVE FUEL",SALE OF MOTOR VEHICLE PARTS AND ACCESSORIES
349,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLE AND MOTORCYCLE RETAIL SALE OF AUTOMOTIVE FUEL","SALE, MAINTENANCE AND REPAIR OF MOTORCYCLES AND"
350,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLE AND MOTORCYCLE RETAIL SALE OF AUTOMOTIVE FUEL",RETAIL SALE OF AUTOMOTIVE FUEL
351,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES",WHOLESALE ON A FEE OR CONTRACT BASIS
352,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES","WHOLESALE OF AGRICULTURAL RAW MATERIALS, LIVE ANIMALS"
353,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES","WHOLESALE OF FOOD, BEVERAGES AND TOBACCO"
354,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES","WHOLESALE OF TEXTILES, CLOTHING, FOOTWEAR"
355,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES",WHOLESALE OF OTHER HOUSEHOLD GOODS
356,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES","WHOLESALE OF SOLID, LIQUID, GASEOUS FUELS"
357,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES",WHOLESALE OF METALS AND METAL ORES
358,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES","WHOLESALE OF HARDWARE, PLUMBING, HEATING EQUIPMENT"
359,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES","WHOLESALE OF OTHER INTERMEDIATE PRODUCTS, WASTE, SCRAP"
360,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES","WHOLESALE OF MACHINERY, EQUIPMENT AND SUPPLIES"
361,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS","WHOLESALE TRADE AND COMMISSION TRADE, EXCEPT MOTOR VEHICLES & MOTORCYCLES",OTHER WHOLESALING
362,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL IN NON-SPECIALIZED STORES: FOOD, BEVERAGES, TOBACCO"
363,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,RETAIL IN NON-SPECIALIZED STORES (DEPARTMENT STORES)
364,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL IN SPECIALIZED STORES: FOOD, BEVERAGES, TOBACCO"
